model_name,dataset_name,num_train_samples,num_epochs,batch_size,fp16,pue,gpu_type,learning_rate,max_sequence_length,gradient_accumulation_steps,num_gpus,dataset_config,model_parameters,Unnamed: 15,log_model_parameters,total_tokens,compute_load,compute_log,size_cluster,gpu_power_watts,model_family
gpt2-medium,imdb,25000.0,1.0,8.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,256.0,2.0,1.0,,354823168.0,,19.687130107846,6400000.0,2270868275200000.0,35.35893865335759,small,250,gpt
gpt2-xl,imdb,25000.0,80.0,1.0,True,1.58,Tesla P100-PCIE-16GB,0.0002,256.0,16.0,1.0,,1500000000.0,,21.12873094572124,6400000.0,7.68e+17,41.182566128058355,large,250,gpt
gpt2-xl,imdb,15000.0,1.0,2.0,True,1.58,Tesla P100-PCIE-16GB,1e-05,256.0,4.0,1.0,,1500000000.0,,21.12873094572124,3840000.0,5760000000000000.0,36.28971386961849,large,250,gpt
gpt2-xl,imdb,10000.0,1.0,1.0,True,1.58,Tesla P100-PCIE-16GB,1.5e-05,512.0,4.0,1.0,,1500000000.0,,21.12873094572124,5120000.0,7680000000000000.0,36.57739594207027,large,250,gpt
roberta-base,imdb,30000.0,1.0,16.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,512.0,2.0,1.0,,125000000.0,,18.643824303266577,15360000.0,1920000000000000.0,35.191101580950374,small,250,bert
bert-base-uncased,imdb,30000.0,1.0,64.0,True,1.1,TPU v2-8,5e-05,256.0,1.0,1.0,,110000000.0,,18.5159909328476,7680000.0,844800000000000.0,34.37012102888055,small,250,bert
bert-large-uncased,imdb,10000.0,2.0,16.0,True,1.58,Tesla T4,2e-05,128.0,2.0,2.0,,335141890.0,,19.63006455533903,1280000.0,857963238400000.0,34.385582368810965,small,70,bert
distilbert-base-uncased,imdb,25000.0,1.0,8.0,True,1.58,Tesla T4,2e-05,512.0,1.0,1.0,,66000000.0,,18.005165315142214,12800000.0,844800000000000.0,34.37012102888055,small,70,bert
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,imdb,3000.0,2.0,2.0,True,1.58,NVIDIA GeForce RTX 3080,3e-05,384.0,4.0,1.0,,1100000000.0,,20.818576017659826,1152000.0,2534400000000000.0,35.468733317548654,large,320,llama
bert-base-uncased,sst2,67349.0,1.0,8.0,True,1.58,Tesla T4,2e-05,512.0,1.0,1.0,,110000000.0,,18.5159909328476,34482688.0,3793095680000000.0,35.87195888271453,small,70,bert
bert-base-uncased,imdb,15000.0,1.0,16.0,True,1.58,Tesla T4,2e-05,512.0,1.0,1.0,,110000000.0,,18.5159909328476,7680000.0,844800000000000.0,34.37012102888055,small,70,bert
google/mobilebert-uncased,sst2,5000.0,1.0,16.0,True,1.58,Tesla P100-PCIE-16GB,3e-05,128.0,1.0,1.0,glue/sst2,25000000.0,,17.034386422832473,640000.0,16000000000000.0,30.403609838168393,small,250,bert
bert-base-uncased,imdb,10000.0,1.0,16.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,256.0,2.0,1.0,,110000000.0,,18.5159909328476,2560000.0,281600000000000.0,33.27150874021244,small,250,bert
distilbert-base-uncased,imdb,20000.0,1.0,32.0,True,1.58,Tesla T4,5e-05,512.0,1.0,1.0,,66000000.0,,18.005165315142214,10240000.0,675840000000000.0,34.14697747756634,small,70,bert
gpt2-medium,imdb,10000.0,1.0,16.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,128.0,1.0,1.0,,354823168.0,,19.687130107846,1280000.0,454173655040000.0,33.749500740923494,small,250,gpt
gpt2-xl,imdb,25000.0,55.0,1.0,True,1.58,Tesla P100-PCIE-16GB,0.0002,256.0,28.0,1.0,,1500000000.0,,21.12873094572124,6400000.0,5.28e+17,40.807872678616945,large,250,gpt
