iter	RMSE
0	0.938781024
1	0.9156373252
2	0.8861188613
3	0.8550792782
4	0.8296449998
5	0.803109889
6	0.7794331975
7	0.7581924525
8	0.7365788159
9	0.7149820301
10	0.6985470888
11	0.6840200032
12	0.6649073081
13	0.6446745103
14	0.6270944333
15	0.6111226585
16	0.5987393171
17	0.5845252472
18	0.570513156
19	0.5547501295
20	0.5401429251
21	0.5262934695
22	0.5149584949
23	0.5037092399
24	0.4930251501
25	0.4832434843
26	0.473504845
27	0.4639758579
28	0.4541444592
29	0.4445792731
30	0.434886003
31	0.4281461523
32	0.4209890938
33	0.4155388223
34	0.4081133391
35	0.4022593828
36	0.3952750904
37	0.389268887
38	0.3832704592
39	0.3795983367
40	0.3728056419
41	0.3693350347
42	0.3631021975
43	0.3590596829
44	0.3553676984
45	0.3517473707
46	0.347487611
47	0.3431409125
48	0.3398949454
49	0.3369298347
50	0.3341687734
51	0.3289644815
52	0.3246851188
53	0.3215988676
54	0.3177001418
55	0.3149316555
56	0.3122022517
57	0.3095379776
58	0.3078695363
59	0.3057164545
60	0.3021991634
61	0.2989804295
62	0.2959257974
63	0.2937775544
64	0.2913594764
65	0.2891047607
66	0.2869012903
67	0.2852515626
68	0.2833759158
69	0.2806141984
70	0.2779174425
71	0.275350864
72	0.2737361232
73	0.2718536571
74	0.2701305185
75	0.2684508943
76	0.2669241233
77	0.2649531047
78	0.2621812966
79	0.2609687194
80	0.2592764338
81	0.2572781702
82	0.2558024998
83	0.2536074985
84	0.2522685809
85	0.2504648499
86	0.2487057852
87	0.2459610907
88	0.2436550575
89	0.241929138
90	0.2390249083
91	0.2376870522
92	0.235920607
93	0.2340771185
94	0.2317600464
95	0.229983735
96	0.2285199463
97	0.2273431937
98	0.2258826908
99	0.2250138907
100	0.2243948002
101	0.2213279258
102	0.2203301348
103	0.2192285705
104	0.2167467596
105	0.2150355991
106	0.2137104087
107	0.2113740788
108	0.2105439987
109	0.2086092588
110	0.2066751886
111	0.2052006776
112	0.2042425033
113	0.2031288899
114	0.2021717082
115	0.1999926804
116	0.1990901977
117	0.1982369677
118	0.1973725004
119	0.1962451923
120	0.1941872306
121	0.1930930817
122	0.1923356354
123	0.1913055837
124	0.1905693666
125	0.1895740012
126	0.1878699734
127	0.1862774281
128	0.1847392428
129	0.1831446306
130	0.1824859807
131	0.1809287988
132	0.1794453509
133	0.1780175501
134	0.1768600105
135	0.1762583347
136	0.1746487634
137	0.1738606586
138	0.1732545136
139	0.1721038476
140	0.171393431
141	0.1707980106
142	0.1702039857
143	0.1696283859
144	0.1690329752
145	0.168105451
146	0.1671962945
147	0.1658350928
148	0.1652396469
149	0.1638699919
150	0.1625230186
151	0.1620138741
152	0.1611912128
153	0.1605779443
154	0.1601307614
155	0.1589318882
156	0.1581547041
157	0.1575039419
158	0.1567498233
159	0.1562241036
160	0.1554873544
161	0.1547657372
162	0.1540589845
163	0.1535868705
164	0.1528966442
165	0.1520784335
166	0.1514068918
167	0.1507493456
168	0.1500277773
169	0.1495795485
170	0.1488809203
171	0.1482168817
172	0.1478015971
173	0.1471440688
174	0.1465224477
175	0.1455573432
176	0.1449293829
177	0.1443166801
178	0.1437329797
179	0.1431395493
180	0.1425605278
181	0.1418277957
182	0.141182637
183	0.140620634
184	0.140070722
185	0.1395326615
186	0.1389980921
187	0.138169058
188	0.1375598114
189	0.1370357509
190	0.1364650418
191	0.1359704461
192	0.1353297428
193	0.1348460451
194	0.1343729415
195	0.1340446444
196	0.1331671206
197	0.1327026742
198	0.1322428991
199	0.131967611
200	0.1315313682
201	0.1310885987
202	0.1306555375
203	0.130066313
204	0.1297875724
205	0.1293651609
206	0.1289520483
207	0.1285480492
208	0.1282797354
209	0.1278856824
210	0.1275003602
211	0.1271235933
212	0.1266583266
213	0.1262918101
214	0.1257437948
215	0.1253854512
216	0.1250351281
217	0.1246926611
218	0.1243578885
219	0.1238328973
220	0.1235056389
221	0.1231857605
222	0.1227527512
223	0.1224404631
224	0.1221352434
225	0.1217182243
226	0.1214202604
227	0.1210182029
228	0.1208117082
229	0.120520449
230	0.1199006439
231	0.1196163005
232	0.1190249925
233	0.1187468977
234	0.1184751549
235	0.1179108925
236	0.117645161
237	0.1172874253
238	0.1170280842
239	0.1167746975
240	0.116527137
241	0.1161826632
242	0.115586704
243	0.1153805925
244	0.1151763393
245	0.1146577044
246	0.1144615168
247	0.1140477108
248	0.1135193292
249	0.1132866108
250	0.1131030611
251	0.1127780438
252	0.1124623988
253	0.1122902096
254	0.1119868418
255	0.1116922239
256	0.1114061059
257	0.1111282443
258	0.1107069934
259	0.110553494
260	0.1102881254
261	0.1101414243
262	0.1099509394
263	0.109699918
264	0.1093715318
265	0.1090402049
266	0.1087805237
267	0.1086355701
268	0.1084584831
269	0.1082855814
270	0.1079698257
271	0.1077846734
272	0.1075828667
273	0.1074137276
274	0.1072485896
275	0.1071228145
276	0.1068139817
277	0.1066537956
278	0.1064919131
279	0.1063358057
280	0.1059928787
281	0.1058399171
282	0.1055745119
283	0.1054293487
284	0.1052876425
285	0.1050401795
286	0.1047200496
287	0.1046116293
288	0.1043070347
289	0.1042023989
290	0.1040693398
291	0.1039394603
292	0.1038396648
293	0.1036210924
294	0.1034971679
295	0.1033762197
296	0.103170523
297	0.1030541941
298	0.1029406717
299	0.1026290733
300	0.1025182627
301	0.102410131
302	0.102200242
303	0.1019988884
304	0.1018216199
305	0.1016276725
306	0.101355556
307	0.101167974
308	0.1010726919
309	0.1008128923
310	0.100719776
311	0.1005994269
312	0.1003880575
313	0.1000610841
314	0.09994999936
315	0.09975538508
316	0.09967007466
317	0.0994872484
318	0.09923159497
319	0.09908722917
320	0.09891970062
321	0.09876009733
322	0.09848653385
323	0.09841219384
324	0.09833969931
325	0.09806216931
326	0.0977969249
327	0.09772588988
328	0.09750892084
329	0.09739335863
330	0.0973259419
331	0.09724106569
332	0.09704054652
333	0.09685252938
334	0.09678998752
