iter	Passed	Remaining
0	146	72905
1	147	36604
2	147	24467
3	148	18386
4	148	14738
5	149	12327
6	150	10597
7	151	9301
8	151	8284
9	152	7470
10	153	6803
11	153	6247
12	154	5779
13	154	5376
14	155	5027
15	156	4721
16	156	4453
17	157	4213
18	157	3999
19	158	3806
20	159	3631
21	159	3472
22	160	3326
23	160	3192
24	161	3070
25	162	2957
26	162	2852
27	163	2754
28	164	2665
29	164	2580
30	165	2501
31	165	2427
32	166	2357
33	167	2291
34	167	2229
35	168	2170
36	169	2116
37	170	2074
38	171	2024
39	171	1977
40	172	1931
41	173	1888
42	173	1848
43	174	1809
44	175	1772
45	175	1735
46	176	1700
47	177	1667
48	177	1635
49	178	1605
50	178	1575
51	179	1548
52	180	1521
53	180	1494
54	181	1469
55	182	1445
56	182	1421
57	183	1398
58	183	1375
59	184	1354
60	185	1333
61	185	1313
62	186	1294
63	187	1274
64	187	1256
65	188	1238
66	189	1224
67	190	1209
68	191	1193
69	191	1177
70	192	1161
71	192	1145
72	193	1130
73	193	1115
74	194	1101
75	195	1089
76	196	1080
77	197	1068
78	197	1054
79	198	1042
80	199	1029
81	199	1017
82	200	1004
83	200	994
84	201	984
85	202	973
86	202	962
87	203	952
88	203	941
89	204	931
90	204	921
91	205	911
92	206	902
93	207	894
94	207	885
95	208	876
96	208	867
97	209	858
98	209	849
99	210	841
100	212	838
101	213	832
102	213	824
103	214	817
104	215	810
105	216	803
106	216	796
107	217	789
108	218	782
109	218	776
110	219	769
111	220	762
112	220	755
113	221	748
114	221	743
115	222	737
116	223	731
117	224	725
118	224	719
119	225	713
120	225	707
121	226	701
122	227	695
123	227	690
124	228	685
125	229	680
126	229	674
127	230	669
128	230	663
129	231	658
130	231	653
131	232	647
132	233	643
133	233	638
134	234	633
135	234	628
136	235	623
137	236	619
138	236	614
139	237	609
140	237	605
141	238	600
142	238	596
143	239	591
144	240	587
145	240	583
146	241	579
147	241	575
148	242	571
149	243	567
150	243	562
151	244	558
152	244	554
153	245	550
154	245	547
155	246	543
156	246	539
157	247	535
158	248	531
159	248	528
160	249	524
161	249	521
162	250	517
163	251	514
164	251	510
165	252	507
166	252	504
167	253	500
168	253	497
169	254	494
170	255	490
171	255	487
172	256	484
173	256	481
174	257	478
175	258	475
176	258	472
177	259	468
178	259	465
179	260	462
180	261	460
181	261	457
182	262	454
183	262	451
184	263	448
185	264	445
186	264	442
187	265	439
188	265	437
189	266	434
190	266	431
191	267	428
192	268	426
193	268	424
194	269	421
195	269	418
196	270	416
197	271	413
198	271	410
199	272	408
200	272	406
201	273	403
202	274	401
203	274	398
204	275	395
205	275	393
206	276	391
207	276	388
208	277	386
209	278	383
210	278	381
211	279	379
212	279	377
213	280	374
214	280	372
215	281	370
216	281	367
217	282	365
218	283	363
219	283	361
220	284	359
221	285	356
222	285	354
223	286	352
224	286	350
225	287	348
226	287	346
227	288	344
228	289	342
229	289	340
230	290	337
231	290	335
232	291	333
233	291	331
234	292	329
235	292	327
236	293	325
237	294	323
238	294	321
239	295	319
240	295	318
241	296	316
242	297	314
243	297	312
244	298	310
245	298	308
246	299	306
247	299	304
248	300	302
249	301	301
250	301	299
251	302	297
252	302	295
253	303	293
254	303	291
255	304	290
256	305	288
257	306	287
258	306	285
259	307	283
260	307	281
261	308	280
262	308	278
263	309	276
264	310	275
265	310	273
266	311	271
267	312	270
268	312	268
269	313	266
270	313	265
271	314	263
272	314	261
273	315	260
274	316	258
275	317	257
276	317	255
277	318	254
278	318	252
279	319	250
280	319	249
281	320	247
282	320	246
283	321	244
284	322	243
285	323	241
286	324	240
287	325	239
288	326	238
289	327	236
290	328	235
291	328	234
292	329	232
293	330	231
294	330	229
295	331	228
296	332	227
297	332	225
298	333	224
299	334	222
300	334	221
301	335	220
302	336	218
303	336	217
304	337	215
305	338	214
306	338	213
307	339	211
308	340	210
309	340	208
310	341	207
311	342	206
312	342	204
313	343	203
314	343	201
315	344	200
316	345	199
317	345	197
318	346	196
319	346	195
320	347	193
321	348	192
322	349	191
323	349	189
324	350	188
325	350	187
326	351	185
327	351	184
328	352	183
329	353	181
330	353	180
331	354	179
332	354	177
333	355	176
334	356	175
335	356	174
336	357	172
337	357	171
338	358	170
339	358	168
340	359	167
341	360	166
342	360	165
343	361	163
344	361	162
345	362	161
346	362	160
347	363	158
348	363	157
349	364	156
350	365	155
351	365	153
352	366	152
353	367	151
354	367	150
355	368	149
356	368	147
357	369	146
358	370	145
359	370	144
360	371	142
361	371	141
362	372	140
363	372	139
364	373	138
365	374	136
366	374	135
367	375	134
368	375	133
369	376	132
370	377	131
371	377	129
372	378	128
373	378	127
374	379	126
375	379	125
376	380	124
377	381	123
378	382	121
379	382	120
380	383	119
381	383	118
382	384	117
383	384	116
384	385	115
385	385	113
386	386	112
387	387	111
388	387	110
389	388	109
390	388	108
391	389	107
392	390	106
393	390	105
394	391	103
395	391	102
396	392	101
397	392	100
398	393	99
399	394	98
400	394	97
401	395	96
402	396	95
403	396	94
404	397	93
405	397	92
406	398	91
407	399	89
408	399	88
409	400	87
410	400	86
411	401	85
412	401	84
413	402	83
414	403	82
415	403	81
416	404	80
417	404	79
418	405	78
419	405	77
420	406	76
421	407	75
422	407	74
423	408	73
424	409	72
425	410	71
426	410	70
427	411	69
428	411	68
429	412	67
430	412	66
431	413	65
432	414	64
433	414	63
434	415	62
435	415	61
436	416	60
437	417	59
438	418	58
439	422	57
440	423	56
441	423	55
442	424	54
443	425	53
444	426	52
445	428	51
446	428	50
447	429	49
448	430	48
449	431	47
450	432	46
451	432	45
452	433	44
453	433	43
454	434	42
455	436	42
456	436	41
457	437	40
458	438	39
459	439	38
460	439	37
461	440	36
462	441	35
463	441	34
464	442	33
465	443	32
466	443	31
467	444	30
468	444	29
469	445	28
470	447	27
471	448	26
472	448	25
473	449	24
474	450	23
475	451	22
476	452	21
477	452	20
478	453	19
479	453	18
480	454	17
481	454	16
482	455	16
483	455	15
484	456	14
485	457	13
486	457	12
487	458	11
488	458	10
489	459	9
490	460	8
491	460	7
492	461	6
493	461	5
494	462	4
495	463	3
496	463	2
497	464	1
498	464	0
499	465	0
