model_name,dataset_name,num_train_samples,num_epochs,batch_size,max_sequence_length,learning_rate,bf16,pue,experiment_id,gpu_type
bert-base-uncased,imdb,30000,1,64,128,5e-05,True,1.1,13c1dded-9bf1-41be-b235-c4782ef26afc,TPU v2-8
bert-base-uncased,imdb,30000,1,64,128,3e-05,True,1.1,291ff923-c771-427c-ae62-6aa50d9fd512,TPU v2-8
bert-base-uncased,imdb,30000,1,64,256,5e-05,True,1.1,30dd8547-f77b-4f50-80e4-0f693df900a6,TPU v2-8
bert-base-uncased,imdb,30000,1,64,256,3e-05,True,1.1,c008d7b0-1d06-4062-ba3d-4f76015e3b7a,TPU v2-8
bert-base-uncased,imdb,30000,1,128,128,5e-05,True,1.1,e33e3dd5-713b-4303-892d-e86c47c1c68d,TPU v2-8
bert-base-uncased,imdb,30000,1,128,128,3e-05,True,1.1,8a81dade-1b06-45c8-8422-83ea362a41f0,TPU v2-8
bert-base-uncased,imdb,30000,1,128,256,5e-05,True,1.1,2b513aeb-3f5b-4507-9bbe-24c597027cc3,TPU v2-8
bert-base-uncased,imdb,30000,1,128,256,3e-05,True,1.1,25743c28-bbf6-4c02-a39b-08666832689c,TPU v2-8
roberta-base,imdb,30000,1,64,128,5e-05,True,1.1,d600de6e-d139-41c9-9eaf-641ee4a66be2,TPU v2-8
roberta-base,imdb,30000,1,64,128,3e-05,True,1.1,ca801d20-1da5-440d-a2a4-57bf85270f5e,TPU v2-8
roberta-base,imdb,30000,1,64,256,5e-05,True,1.1,47060dbc-5b6f-478e-922b-3901013c27b8,TPU v2-8
roberta-base,imdb,30000,1,64,256,3e-05,True,1.1,afc62f7a-1b8f-452d-a024-6eb66fed6d37,TPU v2-8
roberta-base,imdb,30000,1,128,128,5e-05,True,1.1,da301035-716c-494d-98bf-debfb6634599,TPU v2-8
roberta-base,imdb,30000,1,128,128,3e-05,True,1.1,7a3f2b7d-5320-405d-88ab-e6b443cad028,TPU v2-8
roberta-base,imdb,30000,1,128,256,5e-05,True,1.1,355cd223-ba4c-4653-a0bb-ef9ac018b4d9,TPU v2-8
roberta-base,imdb,30000,1,128,256,3e-05,True,1.1,d30fa668-1666-4c6a-8669-7e67f98fb147,TPU v2-8
