model_name,dataset_name,num_train_samples,num_epochs,batch_size,fp16,pue,experiment_id,gpu_type
distilbert-base-uncased,imdb,5000,1,8,True,1.58,f0112ece-bbd7-4cd3-a26a-69b38e254845,Tesla P100-PCIE-16GB
distilbert-base-uncased,imdb,5000,1,16,True,1.58,4275fd13-cc4c-4e41-a309-334b6c61d88a,Tesla P100-PCIE-16GB
distilbert-base-uncased,imdb,5000,1,32,True,1.58,72c505c7-e6b2-432f-823f-32c7dcc641af,Tesla P100-PCIE-16GB
distilbert-base-uncased,imdb,15000,1,8,True,1.58,c3a750d8-a00c-4029-8222-148154426712,Tesla P100-PCIE-16GB
distilbert-base-uncased,imdb,15000,1,16,True,1.58,217b0f84-aeeb-40ed-8aeb-8c3b060edcf0,Tesla P100-PCIE-16GB
distilbert-base-uncased,imdb,15000,1,32,True,1.58,e3e7a135-4887-4043-9011-09a0a3f1f1a9,Tesla P100-PCIE-16GB
distilbert-base-uncased,imdb,25000,1,8,True,1.58,5c444f06-e3cf-4e1a-9aee-f3a3c1ff0c4e,Tesla P100-PCIE-16GB
distilbert-base-uncased,imdb,25000,1,16,True,1.58,6a5b641e-a5d7-41e6-b519-226e40036e59,Tesla P100-PCIE-16GB
distilbert-base-uncased,imdb,25000,1,32,True,1.58,9ba93420-24dd-4fe0-88b6-a6b9484dc72b,Tesla P100-PCIE-16GB
distilbert-base-uncased,sst2,67349,1,8,True,1.58,e09c7f04-ddb0-473c-8f58-2cee85744549,Tesla P100-PCIE-16GB
distilbert-base-uncased,sst2,67349,1,16,True,1.58,791bd20e-d11b-4381-9994-51ce68177fdf,Tesla P100-PCIE-16GB
distilbert-base-uncased,sst2,67349,1,32,True,1.58,e4f07e94-05fb-442b-93ff-458e754a45c5,Tesla P100-PCIE-16GB
distilbert-base-uncased,sst2,67349,1,8,True,1.58,76a97796-c05d-4b8e-b7ff-25dab32158ec,Tesla P100-PCIE-16GB
distilbert-base-uncased,sst2,67349,1,16,True,1.58,168a262e-6b49-4904-b0b5-1b28bfa789f9,Tesla P100-PCIE-16GB
distilbert-base-uncased,sst2,67349,1,32,True,1.58,35984209-3a46-4aed-ab23-468b2b797e57,Tesla P100-PCIE-16GB
distilbert-base-uncased,sst2,67349,1,8,True,1.58,d413f909-2039-4611-9224-ebca8a63daac,Tesla P100-PCIE-16GB
distilbert-base-uncased,sst2,67349,1,16,True,1.58,16eef7fc-b909-4ef8-b0bb-10d3a78eea28,Tesla P100-PCIE-16GB
distilbert-base-uncased,sst2,67349,1,32,True,1.58,0e035675-ba1c-4432-b8d3-4aea6e8c3c5d,Tesla P100-PCIE-16GB
bert-base-uncased,imdb,5000,1,8,True,1.58,9233b946-bbf5-4077-9787-2fe93619e021,Tesla P100-PCIE-16GB
bert-base-uncased,imdb,5000,1,16,True,1.58,4c585f19-7cb9-4e58-9591-2672b6bb4183,Tesla P100-PCIE-16GB
bert-base-uncased,imdb,5000,1,32,True,1.58,66dda423-0234-498d-9dd2-7bfbd50b11d4,Tesla P100-PCIE-16GB
bert-base-uncased,imdb,15000,1,8,True,1.58,26c836a2-cf4d-4a5c-b84c-87cf8c22e7b3,Tesla P100-PCIE-16GB
bert-base-uncased,imdb,15000,1,16,True,1.58,ddb86927-58e3-416f-a270-b1bf5c694638,Tesla P100-PCIE-16GB
bert-base-uncased,imdb,15000,1,32,True,1.58,1c16b2dc-5b6e-4ef1-b354-972b0cb54b85,Tesla P100-PCIE-16GB
bert-base-uncased,imdb,25000,1,8,True,1.58,dd5f46ac-3e0c-4eed-b738-cf45bb08c95d,Tesla P100-PCIE-16GB
bert-base-uncased,imdb,25000,1,16,True,1.58,b72f8661-f5a6-418e-bec4-15c3319856c6,Tesla P100-PCIE-16GB
bert-base-uncased,imdb,25000,1,32,True,1.58,3f12b32c-0fb2-4921-bd93-830a4706b157,Tesla P100-PCIE-16GB
